iotaid, islandname
"EU-061", "Vest Agder to Ostfold County group",
"EU-062", "Nordland / Nord-Trondelag County group",
"EU-063", "Spitsbergen's Coastal Islands (aka Svalbard's Coastal Islands)",
"EU-064", "Pays de la Loire Region group",
"EU-065", "Bretagne (Finistere North West) Region group",
"EU-066", "Solovetskiye Islands",
"EU-067", "Kyklades (Cyclades)",
"EU-068", "Bretagne (Finistere South West) Region group",
"EU-069", "Columbretes Islands",
"EU-070", "Provence-Cote d'Azur (Var) Region group",
"EU-071", "Vestmannaeyjay (Westman Islands)",
"EU-072", "Thessalia Region group",
"EU-073", "Puglia (Taranto) Region group",
"EU-074", "Bretagne (Cotes-d'Armor Centre) Region group",
"EU-075", "Peloponnisos (Argolis) / Attiki Region group",
"EU-076", "Lofoten Islands",
"EU-077", "La Coruna / Lugo Province group",
"EU-078", "Gerona Province group",
"EU-079", "More og Romsdal County South group",
"EU-080", "Pontevedra Province group",
"EU-081", "Basse-Normandie (Manche East) Region group",
"EU-082", "Barents Sea Coast West group",
"EU-083", "Liguria Region group",
"EU-084", "Uppsala / Stockholm County group",
"EU-085", "Kolguev Island",
"EU-086", "Pechorskoye Sea Coast East group",
"EU-087", "Vasternorrland County group",
"EU-088", "Kattegat group",
"EU-089", "Western Azores group",
"EU-090", "Palagruza Islands",
"EU-091", "Puglia (Lecce / Brindisi / Bari) Region group",
"EU-092", "Summer Isles",
"EU-093", "Alicante / Murcia Province group",
"EU-094", "Bretagne (Finistere South) Region group",
"EU-095", "Provence-Cote d'Azur (Bouches du Rhone) Region group",
"EU-096", "Lansi-Suomi (Turku) Province group",
"EU-097", "Etela-Suomi (Uusimaa) Province group",
"EU-099", "Les Minquiers Islands",
"EU-100", "Cerbicales Islands",
"EU-101", "Lansi-Suomi (Vaasa) Province group",
"EU-102", "Pechorskoye Sea Coast Centre group",
"EU-103", "Saltee Islands",
"EU-104", "Sanguinaires Islands",
"EU-105", "Bretagne (Finistere North) Region group",
"EU-106", "St Tudwal's Islands",
"EU-107", "Bretagne (Cotes-d'Armor West) Region group",
"EU-108", "Treshnish Isles",
"EU-109", "Farne Islands",
"EU-110", "Istra group",
"EU-111", "Monach Islands",
"EU-112", "Shiant Islands",
"EU-113", "Peloponnisos (Lakonia) / Kythira Region group",
"EU-114", "Guernsey group",
"EU-115", "Ireland (Ireland / Northern Ireland)",
"EU-116", "Isle of Man",
"EU-117", "Malyy Vysotskiy Island",
"EU-118", "Flannan Isles",
"EU-119", "White Sea Coast East group",
"EU-120", "English Coastal Islands",
"EU-121", "Irish Coastal Islands",
"EU-122", "Northern Irish Coastal Islands",
"EU-123", "Scottish Coastal Islands",
"EU-124", "Welsh Coastal Islands",
"EU-125", "Jylland West group",
"EU-126", "Lappi Province group",
"EU-127", "Schleswig-Holstein State South West group",
"EU-128", "Schleswig-Holstein State East group",
"EU-129", "Usedom Island (aka Uznam Island)",
"EU-130", "Friuli-Venezia Giulia Region group",
"EU-131", "Veneto Region group",
"EU-132", "Szczecin / Koszalin Province group",
"EU-133", "Gulf of Finland group",
"EU-134", "Bilbao / San Sebastian (Basque Country) Province group",
"EU-135", "Vasterbotten County group",
"EU-136", "Kvarner group",
"EU-137", "Skane County group",
"EU-138", "Blekinge County group",
"EU-139", "Norrbotten County group",
"EU-140", "Etela-Suomi (Kymi) Province group",
"EU-141", "Finnmark County East group",
"EU-142", "Oviedo / Santander Province group",
"EU-143", "Cadiz / Huelva Province group",
"EU-144", "Calabria / Basilicata region group",
"EU-145", "Algarve Province group",
"EU-146", "Zuid Holland / Zeeland Province group",
"EU-147", "White Sea Coast group",
"EU-148", "Languedoc-Roussillon Region group",
"EU-149", "Tallinn & Harjumaa / Virumaa County group",
"EU-150", "Minho / Douro Litoral / Beira Litoral Province group",
"EU-151", "Castellon / Valencia Province group",
"EU-152", "Almeria / Grande / Malaga Province group",
"EU-153", "White Sea Coast West group",
"EU-155", "Emilia Romagna Region group",
"EU-156", "Basse-Normandie (Manche West) Region group",
"EU-157", "Bretagne (Cotes-d'Armor East / Ille et Vilaine) Region group",
"EU-158", "Peloponnisos (Messinia) Region group",
"EU-159", "Aquitaine Region group",
"EU-160", "Barents Sea Coast group",
"EU-161", "Barents Sea Coast East group",
"EU-162", "White Sea Coast group",
"EU-163", "Montenegro group (aka Crna Gora group)",
"EU-164", "Corsica's Coastal Islands",
"EU-165", "Sardinia's Coastal Islands",
"EU-166", "Sicily's Coastal Islands",
"EU-167", "Baixo Alentejo Province group",
"EU-168", "Iceland's Coastal Islands",
"EU-169", "Albania group",
"EU-170", "Dalmatia North group",
"EU-171", "Jylland North group",
"EU-172", "Jylland East and Fyn group",
"EU-173", "Lansi-Suomi (Pori) Province group",
"EU-174", "Makedonia / Thraki Region group",
"EU-175", "Central Azores group",
"EU-176", "Gavleborg County group",
"EU-177", "Sodermanland / Ostergotland County group",
"EU-178", "Parnumaa County / Saaremaa County South group",
"EU-179", "Black Sea Coast group",
"EU-180", "Black Sea Coast group",
"EU-181", "Bulgaria group",
"EU-182", "Black Sea Coast group",
"EU-183", "Romania group",
"EU-184", "Oulu Province group",
"EU-185", "Black Sea Coast group",
"EU-186", "Turkey group",
"EU-187", "Crete's Coastal Islands",
"EU-188", "Pechorskoye Sea Coast West group",
"EU-189", "Isle of Rockall",
"EU-190", "Viktoriya Isl.",
"EU-191", "Fericirii Isl",
"NA-001", "Great Bahama Bank group",
"NA-002", "Caicos Islands",
"NA-003", "Turks Islands",
"NA-004", "North Slope County Centre group",
"NA-005", "Bermuda Islands",
"NA-006", "Nunavut (Victoria Island) group",
"NA-007", "Nunavut (Southampton Island) group",
"NA-008", "Nunavut (Ellesmere Island) group",
"NA-009", "Nunavut (Parry Islands) group",
"NA-010", "Nova Scotia Province (Cape Breton Island) group",
"NA-011", "Clipperton Island",
"NA-012", "Coco's Island",
"NA-013", "Caribbean Sea Coast Centre group",
"NA-014", "New Brunswick Province South group",
"NA-015", "Cuba (main island and coastal islands not qualifying for other groups)",
"NA-016", "Cayman Islands",
"NA-017", "Baja California State South West group",
"NA-018", "Greenland (main island and coastal islands not qualifying for other groups)",
"NA-019", "Kodiak group",
"NA-020", "Aves Island",
"NA-021", "Barbados",
"NA-022", "Anguilla",
"NA-023", "British Virgin Islands",
"NA-024", "Grenada",
"NA-025", "The Grenadines",
"NA-026", "New York State group",
"NA-027", "Newfoundland Island (main island and coastal islands not qualifying for other groups)",
"NA-028", "Pribilof Islands",
"NA-029", "Prince Edward Island (include satellite islands)",
"NA-030", "Revilla Gigedo Islands",
"NA-031", "Rhode Island State group",
"NA-032", "St Pierre and Miquelon Islands",
"NA-033", "San Andres Island",
"NA-034", "Florida State Centre West (Pasco to Sarasota County) group",
"NA-035", "Santanilla Islands (aka Swan Islands Cisne Islands)",
"NA-036", "British Columbia Province (Vancouver Island) group",
"NA-037", "Near Islands (Semichi Islands) group",
"NA-038", "Quebec Province (La Madeleine Islands) group",
"NA-039", "Andreanof Islands",
"NA-040", "St Lawrence Island",
"NA-041", "Alexander Archipelago",
"NA-042", "Valdez Cordova County West group",
"NA-043", "Nunavut (Sverdrup Islands) group",
"NA-044", "Newfoundland Province (Labrador) South group",
"NA-045", "Quintana Roo State North group",
"NA-046", "Massachusetts State South (Bristol to Barnstable County) group",
"NA-047", "Nunavut (Baffin Island) group",
"NA-048", "Bimini Islands",
"NA-049", "Providencia Island (include Santa Catalina)",
"NA-050", "North Slope County East group",
"NA-051", "British Columbia Province (Queen Charlotte Islands) group",
"NA-052", "Florida State South West (Collier / Monroe County) group",
"NA-053", "Trinity Islands",
"NA-054", "Berry Islands",
"NA-055", "Maine State East (Knox to Washington County) group",
"NA-056", "La Juventud Island",
"NA-057", "Bahia Islands",
"NA-058", "Georgia State group",
"NA-059", "Fox Islands",
"NA-060", "Valle / Choluteca Department group",
"NA-061", "British Columbia Province North group",
"NA-062", "Florida State (Florida Keys) group",
"NA-063", "Sable Island",
"NA-064", "Near Islands (Agattu and Attu) group",
"NA-065", "Washington State North group",
"NA-066", "California State South (Orange / San Diego County) group",
"NA-067", "North Carolina State East (Carteret to Currituck County) group",
"NA-068", "New Brunswick Province North group",
"NA-069", "Florida State South West (Charlotte / Lee County) group",
"NA-070", "Rat Islands",
"NA-071", "Chiriqui / Veraguas South Province group",
"NA-072", "Panama / Darien Province group",
"NA-073", "Corozal / Belize District group",
"NA-074", "Nunivak Island",
"NA-075", "British Columbia Province (Gulf Islands) group",
"NA-076", "Florida State North West (Jefferson to Hernando County) group",
"NA-077", "Quebec Province (Anticosti Island) group",
"NA-078", "Baja California Sur State South West group",
"NA-079", "Florida State (Dry Tortugas Islands) group",
"NA-080", "Little Bahama Bank group",
"NA-081", "Nova Scotia Province East group",
"NA-082", "Mississippi State group",
"NA-083", "Virginia State group",
"NA-084", "Quebec Province (St Lawrence Gulf) East group",
"NA-085", "Florida State North West (Bay to Wakulla County) group",
"NA-086", "Ciego de Avila / Camaguey Province North group",
"NA-087", "Shumagin Islands",
"NA-088", "Bocas del Toro Province group",
"NA-089", "Louisiana State East (St Bernard Parish) group",
"NA-090", "Quintana Roo State Centre group",
"NA-091", "British Columbia Province South group",
"NA-092", "Texas State West (Cameron to Calhoun County) group",
"NA-093", "Pinar del Rio / La Habana Province group",
"NA-094", "St Paul Island",
"NA-095", "Desecheo Island",
"NA-096", "Hispaniola",
"NA-097", "Jamaica",
"NA-098", "Navassa Island",
"NA-099", "Puerto Rico",
"NA-100", "Antigua and Barbuda",
"NA-101", "Dominica",
"NA-102", "Guadeloupe",
"NA-103", "Montserrat",
"NA-104", "St Kitts and Nevis",
"NA-105", "Sint Maarten",
"NA-106", "Virgin Islands",
"NA-107", "Martinique",
"NA-108", "St Lucia",
"NA-109", "St Vincent",
"NA-110", "South Carolina State group",
"NA-111", "New Jersey State group",
"NA-112", "North Carolina State West (Brunswick to Carteret County) group",
"NA-113", "South Bahamas group",
"NA-114", "Les Saintes Islands",
"NA-115", "Clarion Island",
"NA-116", "Puntarenas Province West group",
"NA-117", "Puntarenas Province East group",
"NA-118", "British Columbia Province (Dundas Islands) group",
"NA-119", "Louisiana State Centre (Terrebonne Parish) group",
"NA-120", "Louisiana State West (Cameron to St Mary Parish) group",
"NA-121", "Dillingham / Bristol Bay County group",
"NA-122", "Dominican Republic's Coastal Islands",
"NA-123", "Turneffe Islands",
"NA-124", "Baja California Sur State South East group",
"NA-125", "Quebec Province (St Lawrence Gulf) West group",
"NA-126", "Nova Scotia Province South group",
"NA-127", "Nova Scotia Province West group",
"NA-128", "Quebec Province (St Lawrence Waterway) group",
"NA-129", "Nunavut (Banks Island) group",
"NA-130", "Nunavut (Baffin's Coastal Islands) East group",
"NA-131", "Nunavut (Kitikmeot Region) East Centre group",
"NA-132", "Bajo Nuevo and Serranilla Bank Cays",
"NA-133", "Serrana Bank and Roncador Cays",
"NA-134", "Greenland's Coastal Islands North West",
"NA-135", "Campeche State group",
"NA-136", "Connecticut State group",
"NA-137", "Maine State West (York to Knox County) group",
"NA-138", "Florida State North East (Brevard to Nassau County) group",
"NA-139", "Maryland State East group",
"NA-140", "Maryland State West group",
"NA-141", "Florida State South East (Dade to Indian River County) group",
"NA-142", "Florida State North West (Escambia to Walton County) group",
"NA-143", "Texas State East (Matagorda to Jefferson County) group",
"NA-144", "California State South (Santa Barbara to Los Angeles County) group",
"NA-145", "Sint Eustatius",
"NA-146", "St Barthelemy Island",
"NA-147", "The Grenadines",
"NA-148", "Massachusetts State North (Barnstable to Essex County) group",
"NA-149", "Haiti's Coastal Islands",
"NA-150", "Little Diomede Island",
"NA-151", "Greenland's Coastal Islands South East",
"NA-152", "Nome County North group",
"NA-153", "Yucatan State group",
"NA-154", "Nova Scotia Province North group",
"NA-155", "Limon Province group",
"NA-156", "Nunavut (Hudson Bay - Quebec Coast) North West group",
"NA-157", "Valdez Cordova County East group",
"NA-158", "Kenai - Cook Inlet group",
"NA-159", "Nunavut (King George Islands) group",
"NA-160", "Cortes / Atlantida / Colon Department group",
"NA-161", "Skagway - Yakutat County group",
"NA-162", "Baja California State North West group",
"NA-163", "Baja California State East group",
"NA-164", "Baja California Sur State North West group",
